day,hour,alive,uninfected,infected,recovered,deaths,quarantined,max_infected,variance_infected,mean_infected,run_no,avg_susceptibility,avg_recovery_time,initial_population,initial_infected,average_death_rate,average_recovery_rate,quarantine_delay,mass_testing_intensity,social_distancing_intensity,lockdown_intensity
12,288,4910.0,4653.0,251.0,6.0,90.0,0.0,8.0,1.319740234,1.952380952,3.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,90.0
13,312,4898.0,4653.0,235.0,10.0,102.0,0.0,8.0,1.320270028,1.9173553719999998,3.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,90.0
14,336,4883.0,4653.0,217.0,13.0,117.0,0.0,8.0,1.3514752909999999,1.9380530969999998,3.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,90.0
15,360,4867.0,4652.0,199.0,16.0,133.0,0.0,8.0,1.3792682669999998,1.9619047619999999,3.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,90.0
16,384,4856.0,4652.0,185.0,19.0,144.0,0.0,8.0,1.267304465,1.9,3.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,90.0
17,408,4850.0,4652.0,178.0,20.0,150.0,0.0,8.0,1.272142409,1.897959184,3.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,90.0
18,432,4836.0,4652.0,162.0,22.0,164.0,0.0,8.0,1.2962882070000001,1.891304348,3.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,90.0
19,456,4826.0,4652.0,148.0,26.0,174.0,0.0,8.0,1.3305292640000002,1.941176471,3.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,90.0
20,480,4819.0,4652.0,137.0,30.0,181.0,0.0,8.0,1.3457529080000001,1.93902439,3.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,90.0
21,504,4812.0,4652.0,127.0,33.0,188.0,0.0,8.0,1.357352225,1.925,3.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,90.0
22,528,4805.0,4651.0,119.0,35.0,195.0,0.0,8.0,1.359003294,1.9090909090000001,3.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,90.0
23,552,4800.0,4651.0,110.0,39.0,200.0,0.0,8.0,1.373844639,1.945945946,3.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,90.0
24,576,4798.0,4651.0,102.0,45.0,202.0,0.0,8.0,1.383337459,1.945205479,3.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,90.0
25,600,4794.0,4651.0,88.0,55.0,206.0,0.0,8.0,1.4029288130000002,1.943661972,3.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,90.0
26,624,4788.0,4650.0,76.0,62.0,212.0,0.0,8.0,1.4029288130000002,1.943661972,3.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,90.0
27,648,4785.0,4650.0,61.0,74.0,215.0,0.0,8.0,1.3735412319999998,1.898550725,3.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,90.0
28,672,4782.0,4650.0,55.0,77.0,218.0,0.0,8.0,1.383697252,1.8970588240000001,3.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,90.0
